 
****************************************
Report : cell
Design : mem_system
Version: B-2008.09-SP3
Date   : Thu Apr 21 02:19:07 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
State[0]                  dff_216                         14.079000 h, n
State[1]                  dff_217                         11.732500 h, n
State[2]                  dff_218                         11.732500 h, n
State[3]                  dff_219                         14.079000 h, n
U10                       AND2X2          gscl45nm        2.815800  
U11                       AND2X2          gscl45nm        2.815800  
U204                      INVX2           gscl45nm        1.877200  
U205                      INVX4           gscl45nm        3.285100  
U206                      INVX2           gscl45nm        1.877200  
U207                      INVX2           gscl45nm        1.877200  
U208                      INVX2           gscl45nm        1.877200  
U209                      INVX2           gscl45nm        1.877200  
U210                      INVX2           gscl45nm        1.877200  
U211                      INVX2           gscl45nm        1.877200  
U212                      INVX2           gscl45nm        1.877200  
U213                      INVX2           gscl45nm        1.877200  
U214                      INVX2           gscl45nm        1.877200  
U215                      INVX2           gscl45nm        1.877200  
U216                      INVX2           gscl45nm        1.877200  
U217                      INVX2           gscl45nm        1.877200  
U218                      AND2X2          gscl45nm        2.815800  
U219                      AND2X2          gscl45nm        2.815800  
U220                      INVX2           gscl45nm        1.877200  
U221                      INVX4           gscl45nm        3.285100  
U222                      INVX1           gscl45nm        1.407900  
U223                      INVX1           gscl45nm        1.407900  
U224                      INVX1           gscl45nm        1.407900  
U225                      INVX1           gscl45nm        1.407900  
U226                      INVX1           gscl45nm        1.407900  
U227                      INVX1           gscl45nm        1.407900  
U228                      INVX1           gscl45nm        1.407900  
U229                      INVX1           gscl45nm        1.407900  
U230                      INVX1           gscl45nm        1.407900  
U231                      INVX1           gscl45nm        1.407900  
U232                      AND2X1          gscl45nm        2.346500  
U233                      AND2X1          gscl45nm        2.346500  
U234                      INVX1           gscl45nm        1.407900  
U235                      INVX1           gscl45nm        1.407900  
U236                      INVX1           gscl45nm        1.407900  
U237                      INVX1           gscl45nm        1.407900  
U238                      AND2X1          gscl45nm        2.346500  
U239                      AND2X1          gscl45nm        2.346500  
U240                      INVX1           gscl45nm        1.407900  
U241                      INVX1           gscl45nm        1.407900  
U242                      INVX1           gscl45nm        1.407900  
U243                      INVX1           gscl45nm        1.407900  
U244                      INVX1           gscl45nm        1.407900  
U245                      INVX1           gscl45nm        1.407900  
