/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:4.9 CYCLES:283 ICOUNT:58 IHITRATE: 296.3 DHITRATE: 20.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:3.2 CYCLES:3300 ICOUNT:1035 IHITRATE: 244.9 DHITRATE: 44.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:3.1 CYCLES:3234 ICOUNT:1035 IHITRATE: 239.9 DHITRATE: 46.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:3.1 CYCLES:3162 ICOUNT:1035 IHITRATE: 234.5 DHITRATE: 49.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:3.1 CYCLES:3216 ICOUNT:1035 IHITRATE: 238.6 DHITRATE: 47.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:3.2 CYCLES:3288 ICOUNT:1035 IHITRATE: 244.0 DHITRATE: 44.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:3.2 CYCLES:3300 ICOUNT:1035 IHITRATE: 244.9 DHITRATE: 44.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:3.2 CYCLES:3294 ICOUNT:1035 IHITRATE: 244.4 DHITRATE: 44.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:3.2 CYCLES:3330 ICOUNT:1035 IHITRATE: 247.1 DHITRATE: 43.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:3.1 CYCLES:3240 ICOUNT:1035 IHITRATE: 240.4 DHITRATE: 46.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:3.1 CYCLES:3228 ICOUNT:1035 IHITRATE: 239.5 DHITRATE: 46.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:3.2 CYCLES:3300 ICOUNT:1035 IHITRATE: 244.9 DHITRATE: 44.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:3.1 CYCLES:3234 ICOUNT:1035 IHITRATE: 239.9 DHITRATE: 46.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:3.1 CYCLES:3162 ICOUNT:1035 IHITRATE: 234.5 DHITRATE: 49.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:3.1 CYCLES:3216 ICOUNT:1035 IHITRATE: 238.6 DHITRATE: 47.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:3.2 CYCLES:3288 ICOUNT:1035 IHITRATE: 244.0 DHITRATE: 44.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:3.2 CYCLES:3300 ICOUNT:1035 IHITRATE: 244.9 DHITRATE: 44.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:3.2 CYCLES:3294 ICOUNT:1035 IHITRATE: 244.4 DHITRATE: 44.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:3.2 CYCLES:3330 ICOUNT:1035 IHITRATE: 247.1 DHITRATE: 43.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:3.1 CYCLES:3240 ICOUNT:1035 IHITRATE: 240.4 DHITRATE: 46.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:3.1 CYCLES:3228 ICOUNT:1035 IHITRATE: 239.5 DHITRATE: 46.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:3.8 CYCLES:389 ICOUNT:102 IHITRATE: 270.4 DHITRATE: 30.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:3.6 CYCLES:3532 ICOUNT:973 IHITRATE: 220.8 DHITRATE: 35.7
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:3.3 CYCLES:3181 ICOUNT:973 IHITRATE: 198.3 DHITRATE: 45.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:3.2 CYCLES:3155 ICOUNT:973 IHITRATE: 196.7 DHITRATE: 45.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:3.3 CYCLES:3220 ICOUNT:973 IHITRATE: 200.8 DHITRATE: 43.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:3.2 CYCLES:3155 ICOUNT:973 IHITRATE: 196.7 DHITRATE: 45.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:3.6 CYCLES:3480 ICOUNT:973 IHITRATE: 217.4 DHITRATE: 36.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:3.4 CYCLES:3350 ICOUNT:973 IHITRATE: 209.1 DHITRATE: 40.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:3.4 CYCLES:3350 ICOUNT:973 IHITRATE: 209.1 DHITRATE: 40.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:3.6 CYCLES:3493 ICOUNT:973 IHITRATE: 218.3 DHITRATE: 36.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:3.3 CYCLES:3168 ICOUNT:973 IHITRATE: 197.5 DHITRATE: 45.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:3.4 CYCLES:3324 ICOUNT:973 IHITRATE: 207.5 DHITRATE: 40.9
